ID,Titre,Durée (minutes),Langue Originale,Note moyenne,Score de popularité,Décénnie,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
tt0082812,Night School,0.30519480519480524,en,0.533734774873409,0.0009203498508361253,0.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0
tt0086262,Scream,0.26623376623376627,en,0.30491309703024494,0.0024089430339989102,0.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0
tt0081455,Scanners,0.4025974025974026,en,0.662104830983988,0.0020810045410344586,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0
tt0082533,The Howling,0.3246753246753247,en,0.6381551936499247,0.003338134845400284,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
tt0084090,Inseminoid,0.33766233766233766,en,0.2790474887094567,0.0014687478938941153,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
tt0083287,"Viens chez moi, j’habite chez une copine",0.2857142857142857,fr,0.5775283974271247,0.0009077746180322158,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0082558,The Incredible Shrinking Woman,0.30519480519480524,en,0.46366497878746415,0.0007833977060810486,0.0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
tt0082402,"Fort Apache, the Bronx",0.5454545454545455,en,0.6385657588613658,0.0011013153104048852,0.0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
tt0082782,My Bloody Valentine,0.31818181818181823,en,0.6291227589982209,0.0020922043577504402,0.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0
tt0082352,Eyes of a Stranger,0.27922077922077926,en,0.5597372382646777,0.0007877204423573925,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0
tt0082009,American Pop,0.3571428571428571,en,0.661694265772547,0.0011231254797991657,0.0,0,0,3,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0
tt0082353,Eyewitness,0.4025974025974026,en,0.5166278910633638,0.0016432292490483594,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0
tt0083000,Roadgames,0.38961038961038963,en,0.6332284111126317,0.001841092677697373,0.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0
tt0093468,Madhouse,0.33766233766233766,en,0.533734774873409,0.0006067549827886325,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
tt0080728,La Femme de l'aviateur,0.42207792207792205,fr,0.707540714383468,0.0011769631952409031,0.0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0
tt0082269,Diva,0.49350649350649356,fr,0.6705898453537703,0.0013327781892018443,0.0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0
tt0082427,The Funhouse,0.3571428571428571,en,0.5408512385383879,0.0017216279660602328,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
tt0082764,Modern Romance,0.33766233766233766,en,0.6842753524018066,0.0010109308246267859,0.0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0
tt0082817,Nighthawks,0.37662337662337664,en,0.6154372519501848,0.0018617239190162867,0.0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
tt0082220,Cutter's Way,0.4155844155844156,en,0.6313124401259067,0.0008902871849142792,0.0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,3,0,0
tt0082377,Omen III: The Final Conflict,0.43506493506493504,en,0.5312713836047626,0.002369252455461571,0.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0
tt0082934,The Postman Always Rings Twice,0.525974025974026,en,0.6352812371698371,0.0024411670680589284,0.0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0
tt0165777,La Fille prodigue,0.35064935064935066,fr,0.7539345832763104,0.0011932717002834732,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
tt0083190,Thief,0.5324675324675325,en,0.7116463664978787,0.0019919954713442864,0.0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
tt0082111,Buddy Buddy,0.3571428571428571,en,0.6021623101135897,0.000990889047345555,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0082622,Knightriders,0.6753246753246753,en,0.5884768030655536,0.0013371009254781881,0.0,3,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0
tt0082348,Excalibur,0.6428571428571429,en,0.6946763377583139,0.003027487297541208,0.0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
tt0081178,The Monster Club,0.40909090909090906,en,0.5747912960175174,0.0013819001923421155,0.0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
tt0082114,The Bunker,0.7077922077922079,en,0.5912139044751608,0.0010720385965332835,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0
tt0082247,Death Hunt,0.3571428571428571,en,0.6432188312576981,0.0021295370801370467,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
tt0082146,Caveman,0.3246753246753247,en,0.6481456137949911,0.0017878444262933186,0.0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0081059,Lion of the Desert,0.8571428571428571,en,0.7414807718625974,0.0023433160378035075,0.0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0
tt0082477,Gregory's Girl,0.3246753246753247,en,0.6514301354865198,0.0009113114022583156,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
